"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","718","Home Page - Navigation works","webkit","Thu Oct 16 15:51:46 IST 2025","passed","Thu Oct 16 15:51:47 IST 2025","","sample.spec.js","",""
"","564","should show error for invalid credentials","webkit","Thu Oct 16 15:51:45 IST 2025","passed","Thu Oct 16 15:51:45 IST 2025","","login.spec.js","",""
"","564","Form Page - Form submits correctly","webkit","Thu Oct 16 15:51:47 IST 2025","passed","Thu Oct 16 15:51:47 IST 2025","","sample.spec.js","",""
"","400","should show error if username or password is empty","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:28 IST 2025","","login.spec.js","",""
"","432","All names are displayed","webkit","Thu Oct 16 15:51:48 IST 2025","passed","Thu Oct 16 15:51:48 IST 2025","User Table Tests","table.spec.js","",""
"","709","has title","webkit","Thu Oct 16 15:51:43 IST 2025","passed","Thu Oct 16 15:51:44 IST 2025","","example.spec.js","",""
"","983","should display login page elements","firefox","Thu Oct 16 15:51:34 IST 2025","passed","Thu Oct 16 15:51:35 IST 2025","","login.spec.js","",""
"","307","should show error for invalid credentials","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:28 IST 2025","","login.spec.js","",""
"","2788","has title","firefox","Thu Oct 16 15:51:30 IST 2025","passed","Thu Oct 16 15:51:33 IST 2025","","example.spec.js","",""
"","680","has title","chromium","Thu Oct 16 15:51:26 IST 2025","passed","Thu Oct 16 15:51:27 IST 2025","","example.spec.js","",""
"","333","should display login page elements","webkit","Thu Oct 16 15:51:44 IST 2025","passed","Thu Oct 16 15:51:45 IST 2025","","login.spec.js","",""
"","708","Home Page - Navigation works","firefox","Thu Oct 16 15:51:37 IST 2025","passed","Thu Oct 16 15:51:38 IST 2025","","sample.spec.js","",""
"","584","First row data is correct","firefox","Thu Oct 16 15:51:39 IST 2025","passed","Thu Oct 16 15:51:40 IST 2025","User Table Tests","table.spec.js","",""
"","287","Form Page - Form submits correctly","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:29 IST 2025","","sample.spec.js","",""
"","450","First row data is correct","webkit","Thu Oct 16 15:51:47 IST 2025","passed","Thu Oct 16 15:51:48 IST 2025","User Table Tests","table.spec.js","",""
"","799","should show error if username or password is empty","firefox","Thu Oct 16 15:51:36 IST 2025","passed","Thu Oct 16 15:51:37 IST 2025","","login.spec.js","",""
"","1681","Personal website elements","firefox","Thu Oct 16 15:51:41 IST 2025","passed","Thu Oct 16 15:51:42 IST 2025","","test1.spec.js","",""
"","541","should login successfully with correct credentials","webkit","Thu Oct 16 15:51:45 IST 2025","passed","Thu Oct 16 15:51:46 IST 2025","","login.spec.js","",""
"","265","Home Page - Navigation works","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:28 IST 2025","","sample.spec.js","",""
"","329","Personal website elements","chromium","Thu Oct 16 15:51:29 IST 2025","passed","Thu Oct 16 15:51:29 IST 2025","","test1.spec.js","",""
"","863","All names are displayed","firefox","Thu Oct 16 15:51:40 IST 2025","passed","Thu Oct 16 15:51:41 IST 2025","User Table Tests","table.spec.js","",""
"","762","Form Page - Form submits correctly","firefox","Thu Oct 16 15:51:38 IST 2025","passed","Thu Oct 16 15:51:39 IST 2025","","sample.spec.js","",""
"","989","should show error if username or password is empty","webkit","Thu Oct 16 15:51:46 IST 2025","passed","Thu Oct 16 15:51:47 IST 2025","","login.spec.js","",""
"","679","should login successfully with correct credentials","firefox","Thu Oct 16 15:51:36 IST 2025","passed","Thu Oct 16 15:51:36 IST 2025","","login.spec.js","",""
"","1446","get started link","webkit","Thu Oct 16 15:51:45 IST 2025","passed","Thu Oct 16 15:51:46 IST 2025","","example.spec.js","",""
"","545","Table has 3 rows","firefox","Thu Oct 16 15:51:39 IST 2025","passed","Thu Oct 16 15:51:39 IST 2025","User Table Tests","table.spec.js","",""
"","253","All names are displayed","chromium","Thu Oct 16 15:51:29 IST 2025","passed","Thu Oct 16 15:51:29 IST 2025","User Table Tests","table.spec.js","",""
"","238","should display login page elements","chromium","Thu Oct 16 15:51:27 IST 2025","passed","Thu Oct 16 15:51:28 IST 2025","","login.spec.js","",""
"","432","Table has 3 rows","webkit","Thu Oct 16 15:51:47 IST 2025","passed","Thu Oct 16 15:51:48 IST 2025","User Table Tests","table.spec.js","",""
"","1175","get started link","chromium","Thu Oct 16 15:51:26 IST 2025","passed","Thu Oct 16 15:51:27 IST 2025","","example.spec.js","",""
"","792","Personal website elements","webkit","Thu Oct 16 15:51:48 IST 2025","passed","Thu Oct 16 15:51:49 IST 2025","","test1.spec.js","",""
"","225","First row data is correct","chromium","Thu Oct 16 15:51:29 IST 2025","passed","Thu Oct 16 15:51:29 IST 2025","User Table Tests","table.spec.js","",""
"","253","should login successfully with correct credentials","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:28 IST 2025","","login.spec.js","",""
"","9155","get started link","firefox","Thu Oct 16 15:51:30 IST 2025","passed","Thu Oct 16 15:51:40 IST 2025","","example.spec.js","",""
"","747","should show error for invalid credentials","firefox","Thu Oct 16 15:51:35 IST 2025","passed","Thu Oct 16 15:51:36 IST 2025","","login.spec.js","",""
"","197","Table has 3 rows","chromium","Thu Oct 16 15:51:28 IST 2025","passed","Thu Oct 16 15:51:29 IST 2025","User Table Tests","table.spec.js","",""
